gene_id	colors
Amillepora06166-RA	brown
Amillepora06161-RA	turquoise
Amillepora06257-RA	turquoise
Amillepora06267-RA	brown
Amillepora06296-RA	turquoise
Amillepora06339-RA	blue
Amillepora06426-RA	blue
Amillepora06431-RA	blue
Amillepora06436-RA	blue
Amillepora06494-RA	brown
Amillepora06527-RA	blue
Amillepora06594-RA	turquoise
Amillepora06598-RA	turquoise
Amillepora06614-RA	turquoise
Amillepora06637-RA	turquoise
Amillepora06694-RA	grey
Amillepora06696-RA	grey
Amillepora06730-RA	turquoise
Amillepora06740-RA	grey
Amillepora06760-RA	brown
Amillepora06765-RA	grey
Amillepora06768-RA	brown
Amillepora06843-RA	turquoise
Amillepora06857-RA	turquoise
Amillepora06865-RA	turquoise
Amillepora06876-RA	grey
Amillepora06885-RA	brown
Amillepora06910-RA	turquoise
Amillepora06923-RA	blue
Amillepora06944-RA	brown
Amillepora06959-RA	turquoise
Amillepora07004-RA	brown
Amillepora07089-RA	turquoise
Amillepora07101-RA	brown
Amillepora07128-RA	turquoise
Amillepora07210-RA	turquoise
Amillepora07263-RA	blue
Amillepora07286-RA	brown
Amillepora07326-RA	turquoise
Amillepora07389-RA	blue
Amillepora07416-RA	brown
Amillepora07434-RA	brown
Amillepora07521-RA	turquoise
Amillepora07517-RA	blue
Amillepora07548-RA	brown
Amillepora07697-RA	brown
Amillepora07753-RA	blue
Amillepora07781-RA	blue
Amillepora07829-RA	blue
Amillepora07848-RA	blue
Amillepora07881-RA	brown
Amillepora07888-RA	blue
Amillepora07937-RA	brown
Amillepora07950-RA	blue
Amillepora07992-RA	blue
Amillepora08012-RA	blue
Amillepora08022-RA	turquoise
Amillepora08030-RA	brown
Amillepora08045-RA	grey
Amillepora08046-RA	grey
Amillepora08058-RA	blue
Amillepora08096-RA	turquoise
Amillepora08106-RA	brown
Amillepora08127-RA	turquoise
Amillepora08184-RA	brown
Amillepora08190-RA	turquoise
Amillepora08188-RA	turquoise
Amillepora08189-RA	turquoise
Amillepora08202-RA	turquoise
Amillepora08200-RA	turquoise
Amillepora08230-RA	turquoise
Amillepora08260-RA	turquoise
Amillepora08295-RA	turquoise
Amillepora08308-RA	blue
Amillepora08340-RA	turquoise
Amillepora08349-RA	turquoise
Amillepora08361-RA	brown
Amillepora08394-RA	turquoise
Amillepora08411-RA	turquoise
Amillepora08479-RA	turquoise
Amillepora08505-RA	turquoise
Amillepora08542-RA	turquoise
Amillepora08554-RA	turquoise
Amillepora08556-RA	turquoise
Amillepora08582-RA	turquoise
Amillepora08567-RA	turquoise
Amillepora18678-RA	blue
Amillepora18695-RA	turquoise
Amillepora18776-RA	blue
Amillepora18775-RA	blue
Amillepora18826-RA	turquoise
Amillepora18863-RA	turquoise
Amillepora19035-RA	turquoise
Amillepora19089-RA	turquoise
Amillepora19095-RA	turquoise
Amillepora19113-RA	grey
Amillepora19125-RA	brown
Amillepora19160-RA	brown
Amillepora19223-RA	blue
Amillepora19233-RA	turquoise
Amillepora19283-RA	turquoise
Amillepora19302-RA	brown
Amillepora19312-RA	grey
Amillepora19361-RA	turquoise
Amillepora19382-RA	turquoise
Amillepora19424-RA	grey
Amillepora19453-RA	turquoise
Amillepora19488-RA	turquoise
Amillepora19494-RA	turquoise
Amillepora19499-RA	brown
Amillepora19525-RA	turquoise
Amillepora19531-RA	turquoise
Amillepora19541-RA	grey
Amillepora19576-RA	brown
Amillepora19612-RA	turquoise
Amillepora19776-RA	turquoise
Amillepora19777-RA	turquoise
Amillepora19904-RA	turquoise
Amillepora19916-RA	blue
Amillepora19913-RA	blue
Amillepora19923-RA	turquoise
Amillepora19999-RA	turquoise
Amillepora20075-RA	grey
Amillepora20066-RA	turquoise
Amillepora20147-RA	turquoise
Amillepora20190-RA	turquoise
Amillepora20196-RA	turquoise
Amillepora20199-RA	turquoise
Amillepora20231-RA	brown
Amillepora20324-RA	turquoise
Amillepora10917-RA	turquoise
Amillepora10956-RA	turquoise
Amillepora10980-RA	turquoise
Amillepora11003-RA	blue
Amillepora11061-RA	turquoise
Amillepora11067-RA	blue
Amillepora11072-RA	turquoise
Amillepora11126-RA	brown
Amillepora11133-RA	brown
Amillepora11141-RA	brown
Amillepora11181-RA	blue
Amillepora11215-RA	turquoise
Amillepora11212-RA	turquoise
Amillepora11228-RA	blue
Amillepora11324-RA	brown
Amillepora11332-RA	blue
Amillepora11367-RA	turquoise
Amillepora11383-RA	blue
Amillepora11377-RA	blue
Amillepora11385-RA	blue
Amillepora11387-RA	blue
Amillepora11390-RA	blue
Amillepora11405-RA	brown
Amillepora11411-RA	blue
Amillepora11435-RA	brown
Amillepora11484-RA	brown
Amillepora11617-RA	brown
Amillepora11659-RA	blue
Amillepora11678-RA	blue
Amillepora11701-RA	blue
Amillepora11717-RA	brown
Amillepora11762-RA	brown
Amillepora11775-RA	brown
Amillepora11865-RA	brown
Amillepora11894-RA	blue
Amillepora11931-RA	blue
Amillepora11977-RA	blue
Amillepora12061-RA	brown
Amillepora12125-RA	brown
Amillepora12139-RA	blue
Amillepora12179-RA	blue
Amillepora12183-RA	turquoise
Amillepora12191-RA	blue
Amillepora12238-RA	blue
Amillepora12245-RA	blue
Amillepora12311-RA	turquoise
Amillepora12321-RA	turquoise
Amillepora12381-RA	turquoise
Amillepora12398-RA	turquoise
Amillepora12454-RA	turquoise
Amillepora12455-RA	turquoise
Amillepora12482-RA	turquoise
Amillepora12509-RA	turquoise
Amillepora12542-RA	turquoise
Amillepora12544-RA	turquoise
Amillepora12559-RA	turquoise
Amillepora12565-RA	blue
Amillepora12585-RA	turquoise
Amillepora12614-RA	turquoise
Amillepora12646-RA	turquoise
Amillepora12692-RA	brown
Amillepora12736-RA	turquoise
Amillepora12792-RA	brown
Amillepora12797-RA	turquoise
Amillepora12818-RA	blue
Amillepora12820-RA	blue
Amillepora12827-RA	blue
Amillepora23468-RA	blue
Amillepora23479-RA	blue
Amillepora23535-RA	grey
Amillepora23548-RA	turquoise
Amillepora23593-RA	blue
Amillepora23627-RA	brown
Amillepora23640-RA	turquoise
Amillepora23634-RA	brown
Amillepora23644-RA	blue
Amillepora23731-RA	blue
Amillepora23759-RA	blue
Amillepora23777-RA	blue
Amillepora23795-RA	blue
Amillepora23854-RA	blue
Amillepora23864-RA	brown
Amillepora23877-RA	blue
Amillepora23911-RA	turquoise
Amillepora23967-RA	brown
Amillepora24034-RA	brown
Amillepora24046-RA	turquoise
Amillepora24066-RA	blue
Amillepora24131-RA	blue
Amillepora24211-RA	blue
Amillepora24282-RA	grey
Amillepora24284-RA	turquoise
Amillepora24291-RA	blue
Amillepora24307-RA	turquoise
Amillepora24380-RA	blue
Amillepora24441-RA	turquoise
Amillepora24448-RA	turquoise
Amillepora24462-RA	turquoise
Amillepora24465-RA	turquoise
Amillepora24484-RA	turquoise
Amillepora24553-RA	turquoise
Amillepora24548-RA	turquoise
Amillepora24566-RA	turquoise
Amillepora24567-RA	turquoise
Amillepora24565-RA	turquoise
Amillepora24585-RA	turquoise
Amillepora24610-RA	blue
Amillepora24651-RA	turquoise
Amillepora24650-RA	turquoise
Amillepora24667-RA	turquoise
Amillepora24681-RA	turquoise
Amillepora24682-RA	turquoise
Amillepora24691-RA	turquoise
Amillepora24807-RA	turquoise
Amillepora24811-RA	turquoise
Amillepora20379-RA	turquoise
